Severity,LO,Sub-outcome,Where,Category,Quote,Issue,Fix direction,Note
low,7,7a,insight lo7-tip-two-part-purpose,C: Insight problem,"An answer that gives only the verdict, on track or not, leaves the recommendations behind",Largely repeats the study text sentence that assurance is not only a verdict.,add a genuine exam angle,
low,7,7a,insight lo7-tip-scope-carry-three,C: Insight problem,"Seven is more than you will hold under time pressure, so carry three","Advises learning less than the list, and 'most scenarios turn on one of those three' is unfounded.",give a genuine exam tip,
low,7,7a,insight lo7-tip-failure-modes,C: Insight problem,"Worth knowing, because it produces sharp scenario answers.",Vague opener; the rest restates the study text.,make it a specific exam tip,
low,7,7a,Assurance: its purpose in one paragraph,D: Subheading,Assurance: its purpose in one paragraph,"Meta heading that describes the text's length, not its content; the section has two paragraphs.",retitle to the content,
low,7,7a,The three lines of defence: who assures what,F: Accuracy doubt,The project manager and sponsor,First line has the project manager reporting to the project manager.,fix the reporting line,Check against APM BoK 8 before changing
low,7,7a,worked example: Assurance failure,F: Accuracy doubt,The finding had no agreed route through governance and no named owner,The answer invents facts not given in the situation.,put those facts in the situation,Check against APM BoK 8 before changing
low,7,7a,Assurance failure: how it happens,G: Language,"However, the second is the more uncomfortable one",'However' does not contrast with anything before it; followed by 'And an honest caveat:' aside.,remove the connector and aside,
low,7,7a,Audit: the four stages,H: Structure,### The limit of assurance's authority,"Unformatted sub-heading inside a section about audit stages, with the audit-stage insight placed after it.",make it its own subheading or merge,
low,7,7a,Forward-looking vs backward-looking: how the lines differ,H: Structure,| | Focus |,Near-empty section: a two-row table with a blank header and no explanatory text.,add a sentence or merge into three lines section,
low,8,8a,Transition strategy: how to choose one,A: Non-study content,One worked example: a phased adoption may be preferable,Refers to itself as a 'worked example' inside study text.,state it as an example sentence,
low,8,8b,Knowledge management: what it adds,A: Non-study content,That last one anchors it to LO8 and LO9.,Course-structure meta commentary.,remove,
low,8,8a,insight lo8-tip-plan-early,C: Insight problem,"name what that costs them, which is any chance of shaping whether the business is ready to receive the outputs",Near verbatim repeat of the study text sentence above it.,add a distinct exam angle,
low,8,8b,insight lo8-tip-culture,C: Insight problem,The most quotable line here is the one to write out in full,Insight just repeats a study text sentence.,give a distinct exam tip,
low,8,8c,insight lo8-tip-early-closure,C: Insight problem,the marks sit in welcoming the call,Repeats the study text principle and asserts a marking scheme.,give a genuine exam tip,
low,8,8a,Closure activities: the rest of the list,D: Subheading,Closure activities: the rest of the list,Heading refers to an unspecified list rather than naming the four closure strands.,name the content,
low,8,8b,Learning from experience: including from closure,E: Relevance / coverage gap,"Continuous improvement here is organisational, not personal","Continuous improvement, named in 8b, gets a single sentence with no mechanism, such as feeding lessons into future planning.",add how lessons drive continuous improvement,
low,8,8b,"Knowledge management: a culture change, not a system",F: Accuracy doubt,Active use of technology to enrich workplace interactions is what makes the difference.,"Sits awkwardly against the same section and 'Knowledge flow', which say tools matter less and that people move knowledge.",clarify technology as an enabler,Check against APM BoK 8 before changing
low,8,8c,worked example: The transition plan,F: Accuracy doubt,an unaccepted check sits with a project team that disbands on Friday,Timeline inconsistent: handover in two weeks but team disbands on Friday.,align the dates,Check against APM BoK 8 before changing
low,8,8a,Transition planning / Business-as-usual,G: Language,"what needs to be handed back at the transition point, so user manuals, operating procedures","'so' used to mean 'such as' (also in the BAU table and 8c list), and 'handed back' should be 'handed over'.",use 'such as' and 'handed over',
low,8,8a,worked example: Closure activities,G: Language,"disputes 18,000 pounds of the final account",Currency written as words; £ used elsewhere.,use £,
low,8,8c,Stakeholder engagement: how to do it at transition,G: Language,"The four actions from 8a are the engagement method, applied to transition specifically:",Repeats the 8a four-action table and cross-references it.,reference briefly or add new content,
low,9,9a,The benefit profile: seven items,A: Non-study content,Accountability versus ownership mirrors LO2's pattern,Needless cross-reference; also 'make sure it is ready' leaves 'it' (the business) unclear.,Drop the LO2 reference and name the business explicitly.,
low,9,9a,Tracking: what disturbs a benefit forecast,A: Non-study content,exactly as LO6 recommends for the business case.,Needless cross-references to other LOs (also 'the same escalation route as LO4' in the paragraph above).,Remove the LO cross-references.,
low,9,9a,Realisation: adoption is the mechanism,B: Exam advice in study text,"The chain, which you should be able to write out with an example:",Study coaching phrased as exam preparation inside the study text.,"Introduce the chain as content, e.g. 'The realisation chain:'.",
low,9,9b,Alignment and measurement: the consequence,D: Subheading,Alignment and measurement: the consequence,Vague heading; 'the consequence' does not say what the section teaches.,"Name the point, e.g. that measurement shows whether objectives moved.",
low,9,9b,Benefits realisation: why it matters more than it sounds,D: Subheading,Benefits realisation: why it matters more than it sounds,Heading reads as filler and 'more than it sounds' is unclear.,"Use a plain heading, e.g. 'Benefits realisation and project success'.",
low,9,9a,Definition row of process table vs Benefits communication table,F: Accuracy doubt,Created at identification; the reference point throughout,"The five-process table says the benefit profile is captured at Definition, while the channel table says it is created at identification.",Make the stage at which the profile is created consistent.,Check against APM BoK 8 before changing
low,9,9b,Benefits communication: what makes it work,G: Language,"Two responses are available and both are legitimate: increase adoption, or re-baseline the target.",Repeats the two-moves content already taught in 9a Realisation and its insight.,Cut or shorten to a reference-free reminder.,
low,9,9b,Benefits realisation: why it matters more than it sounds,G: Language,Which is the case for the whole team thinking about benefits proactively:,Orphan sentence fragment starting with 'Which'.,Rewrite as a full sentence.,
low,10,10d,Expectations: why they decide success,A: Non-study content,"That is the core of 10d, and it connects to LO9:",Meta-commentary and needless cross-reference.,State the link as content without the LO labels.,
low,10,10f,Protocols and norms: an easily missed factor,A: Non-study content,"The examples given are procurement, governance oversight and getting approvals through.","Provenance talk ('examples given', 'The stated alternative') rather than plain study text.",State the examples directly.,
low,10,10f,Negative factors: what hinders,C: Insight problem,"lead with poor behaviours and misaligned communication, because APM names those two and most of the rest of the list follows from them",Speculative exam advice with a questionable causal claim.,Replace with a verifiable tip or remove.,
low,10,10b,Measuring communication: then adjusting,D: Subheading,Measuring communication: then adjusting,Heading reads oddly and the one-line section also carries a needless LO4 cross-reference.,Retitle plainly and drop the cross-reference.,
low,10,10a,KEY_DEFINITIONS: Social network diagram,F: Accuracy doubt,Also called a soft systems diagram or sociogram.,A soft systems diagram is a different technique; the synonym looks wrong.,Keep 'sociogram' only.,Check against APM BoK 8 before changing
low,10,10c,Not planning: the cost,G: Language,"Good practices deliver good results, and poor behaviours lead to misunderstandings and conflicts.",Bullet repeats itself (misunderstandings and conflicts twice).,Keep one statement.,
low,10,10d,Influence: the ethical boundary,G: Language,Rewards and coercion rarely have integrity,Section repeats the ethics content already taught in 10a Influence without authority.,Shorten to a brief link to the 10a point or merge.,
low,11,11b,Positive conflict: why it is necessary,A: Non-study content,"Without it, the cost is stated plainly:",Provenance talk about the source text.,State the cost directly.,
low,11,11b,Absent conflict: Risky shift,A: Non-study content,"The second-order effect, and a term worth knowing precisely:",Fragment and study coaching ('Read that carefully.') in the study text.,Start with the definition.,
low,11,11a,Negative conflict: how ordinary conflict turns,B: Exam advice in study text,So the diagnostic question in any scenario is not,Exam scenario framing in the study text.,Phrase as a diagnostic question in practice.,
low,11,11a,ACTIVITIES: Match each signal,B: Exam advice in study text,"You only need two of them in an answer, but you need to recognise all six on the page.",Exam advice placed in an activity note.,Remove or move to the insight.,
low,11,11c,The five conflict strategies: the Thomas-Kilmann model,B: Exam advice in study text,The syllabus names the Thomas-Kilmann Conflict Mode Instrument.,Syllabus framing in the study text ('usable in a scenario' also follows).,Introduce the model directly.,
low,11,11a,Escalation: spotting it early,C: Insight problem,You will not be asked to list six signals for six marks.,Speculative claim about question design rather than a verifiable insight.,"Keep the actionable advice, drop the prediction.",
low,11,11b,Positive conflict: getting the benefit without the cost,F: Accuracy doubt,a respectful culture and skilled facilitation still will not prevent negative conflict arising anyway,Absolute 'will not prevent' contradicts the next sentence ('Prevention reduces it').,Say they may not prevent it entirely.,Check against APM BoK 8 before changing
low,11,11c,WORKED EXAMPLES: Avoid,F: Accuracy doubt,facilitation effort you need on the cladding dispute instead,Refers to a 'cladding dispute' that does not exist; the only cladding example is a no-conflict design review.,Remove the reference or make it self-contained.,Check against APM BoK 8 before changing
low,11,11a,Preventing negative conflict: environment before technique,G: Language,That second and third point are the real safeguards.,Ungrammatical (should be 'points').,Fix agreement.,
low,11,11c,The five conflict strategies: the Thomas-Kilmann model,G: Language,The easier strategy.,Unclear comparison: easier than what is not stated.,"Say what it is easier than, e.g. quicker than collaborating.",
low,11,11c,Conflict management: other skills it needs,G: Language,And genuinely understanding what you heard,Table cell is a fragment starting with 'And' (repeated in the activity).,Write as a complete description.,
low,11,11b,Absent conflict: what happens without it,H: Structure,### Groupthink,Section has no text under the subheading before an extra nested heading level.,Add a lead-in line or fold the two terms under the subheading.,
low,12,12a,"Motivation models: Maslow, Herzberg and McGregor",C: Insight problem,Herzberg is the model most likely to be tested,Unsupported prediction about exam content.,"Keep the application tip, drop the prediction.",
low,12,12c,Wellbeing and resilience: sustaining performance,C: Insight problem,Discomfort with ambiguity producing premature decisions is a named failure mode,Insight repeats the study sentence directly above it.,Make it an application tip or drop it.,
low,12,12a,"Leadership: what it is, in the syllabus's terms",D: Subheading,"Leadership: what it is, in the syllabus's terms","The definition given is APM's BoK definition, not the syllabus wording.","Retitle, e.g. 'Leadership: the APM definition'.",
low,12,12a,Judgement and decision-making: a performance factor,E: Relevance / coverage gap,The Delphi technique is one formal way of engineering those conditions.,"Decision quality, bias and Delphi go beyond 12a (leadership impact on performance and motivation using Maslow, Herzberg, McGregor); insight then says 'one of the four' after text says 'among many others'.",Trim to the leadership link or keep it brief.,
low,12,12a,PROGRESS_CHECKPOINT,E: Relevance / coverage gap,state that none of them comes from the Body of Knowledge,"Checkpoint sets a provenance fact as a learning goal, which is not a syllabus outcome.",Remove that clause.,
low,12,12b,Other factors: what else shifts the style,F: Accuracy doubt,"From LO10: there are moments, a crisis above all, when being directive is the right call","LO10 material does not discuss crisis leadership, so the cross-reference is unfounded.",Drop the LO10 attribution.,Check against APM BoK 8 before changing
low,12,12a,"Leadership: what it is, in the syllabus's terms",G: Language,"The software half is the part you cannot see, and its effects are entirely visible. Most of 12a lives in the software half.","Contrast joined with 'and' reads oddly, followed by LO meta-commentary.",Use 'but' and drop the 12a remark.,
low,12,12b,"Situational leadership: four states, four styles",G: Language,support by enthusiasm (high versus low),"Support dimension is called attitude, enthusiasm and confidence in successive sections.",Use one term consistently.,
low,12,12b,The point most people miss: capability is task-specific,G: Language,Give that same individual a different task,Orphan reference: no individual is introduced in this section; heading also carries filler ('most people miss').,Open with a self-contained statement and plain heading.,
low,12,12c,Emotional intelligence: why it matters now,G: Language,"what we now understand about the role of physical appearance has shifted, and the weight has moved onto emotional intelligence instead",Unclear sentence: does not say how understanding of appearance changed.,State plainly that appearance is now seen as less important.,
low,13,13a,ACTIVITIES pairup models note,A: Non-study content,"Six models, one idea each. That is the level the exam works at.",Unsupported exam claim in an activity note.,Drop the exam claim,
low,13,13c,Leading dispersed teams: the organising principle,A: Non-study content,APM states it plainly:,Provenance lead-in; the linked insight also opens with an orphan 'It is the best single line'.,State the principle directly; make insight self-contained,
low,13,13a,EXAM INSIGHT lo13-tip-stages,C: Insight problem,"Stage 2 and stage 5 are where the marks sit, because they are the two people get wrong.",Unsupported claim about where marks sit; the useful part duplicates the study text.,"Base the tip on question style, not claimed mark location",
low,13,13a,Team maturity: management reduces as it grows,D: Subheading,Team maturity: management reduces as it grows,Heading is ambiguous ('it' grows) and the section leans on LO12's undefined 'trusting' style without explaining the mapping of four styles to five stages.,Clarify heading and explain the style mapping or drop the cross-reference,
low,13,13c,Co-location: what it gives you,D: Subheading,"Worth stating first, because the challenges are all consequences of losing it.","Meta fragment opens the section, and the second paragraph defines dispersed teams, which the heading does not cover.",Remove meta fragment; align heading with content,
low,13,13b,Temporary teams: the extra dimension,F: Accuracy doubt,A permanent team can take a year to reach stage 4; a project team may not have one.,Unsourced specific duration presented as fact.,Remove or soften the figure,Check against APM BoK 8 before changing
low,13,13b,Wellbeing: an effectiveness issue,G: Language,Worth treating as a performance factor rather than a welfare footnote.,Orphan sentence fragment; section also repeats the 'Pressure and wellbeing' factor from 13a.,Make a full sentence and reduce repetition,
low,13,13c,Virtual leadership: why the approach must differ,G: Language,"A facilitative approach specifically, which connects to LO10's facilitation content. Remaining neutral, drawing out contributions",Two consecutive sentence fragments plus a needless cross-reference; 'Tools enable this' also has no clear referent.,Rewrite as complete sentences,
low,14,14c,"Bias: a project risk, not only an ethical problem",A: Non-study content,"APM makes this argument explicitly, and it is the strongest framing available ... not a soft topic bolted onto the syllabus.",Provenance aside and syllabus commentary framing the section.,Remove asides,
low,14,14b,EXAM INSIGHT lo14-tip-mechanism,C: Insight problem,because the exam is more interested in the mechanism than in the list of benefits,Unsupported claim about examiner priorities.,Ground the tip or remove the claim,
low,14,14c,EXAM INSIGHT lo14-tip-bias-risk,C: Insight problem,That final bullet is the one to reach for in a scenario answer.,Orphan reference to study text from a separately shown card.,Make self-contained,
low,14,14b,Inclusive environments: how to build one,G: Language,The advocacy-versus-allyship distinction is the one to hold from that table,"Advocacy vs allyship is explained four times across 14a, 14b and 14c (terms table, this table, this paragraph, facilitation list).",Explain once and reference,
low,14,14c,Bias: where it comes from,G: Language,"Fairness, respect and wellbeing all suffer from either one.",'Either one' has no clear referent after a three-row table.,Name what harms fairness,
low,14,14a,The legal frame: why it is not enough on its own,H: Structure,"That is a performance argument rather than a compliance one, and it is the stronger of the two. LO14b and 14c both build on it.","Two-sentence section repeating point 2 of the previous section, ending in LO-structure meta-commentary.",Merge into previous section; remove meta,
low,15,15b,Specialist advice: where it comes from,A: Non-study content,Procurement and project finance law specialists are the examples given,Provenance phrasing in a table cell.,State as examples directly,
low,15,15a,"Knowledge, skills and behaviours: what CPD covers",B: Exam advice in study text,The syllabus is explicit that CPD covers all three. Worth separating:,Syllabus commentary and fragment lead-in; plus needless 'to borrow LO12's phrase'.,State the three dimensions directly,
low,15,15a,EXAM INSIGHT lo15-tip-cpd-ownership,C: Insight problem,That is the answer to any scenario where somebody's development has stalled,Orphan reference opening a separately shown card.,Make self-contained,
low,15,15c,EXAM INSIGHT lo15-tip-categories,C: Insight problem,learn them by what each demands of you rather than by name,"Advises not learning names for a list it calls directly examinable, which can cost recall marks.",Advise learning names and demands,
low,15,15c,"Regulation: it changes, so monitor it",F: Accuracy doubt,regulatory change is a project risk with a known likelihood of occurring,Risks by definition have uncertain likelihood; 'known likelihood' is misleading.,Remove 'known likelihood',Check against APM BoK 8 before changing
low,15,15c,Conflicting jurisdictions: when laws clash,G: Language,"It is a governance decision, informed by specialist advice",Repeats the previous sentence almost verbatim.,Remove the repeat,
low,15,15b,DIAGRAM caption,H: Structure,caption='What sits inside the scope of ethics',"Diagram placed after the whistleblowing section, which does not discuss the scope of ethics.",Move diagram or recaption,
low,16,16a,Good requirements: what makes them,A: Non-study content,The example given is delivering the work in an environmentally sustainable way.,Provenance phrasing in study text.,State example directly,
low,16,16a,Requirements management: what it is for,B: Exam advice in study text,That is the direct answer to how requirements management establishes scope.,Exam-answer framing in study text.,Move to insight,
low,16,16a,KEY_DEFINITIONS,E: Relevance / coverage gap,"""term"": ""Functional and non-functional requirements""",Defined term is not taught anywhere in the study text.,Cover in study text or remove,
low,16,16a,EXAM INSIGHT lo16-tip-scope-question,G: Language,Give a scenario a project with nothing agreed and ask what the risk is,Ungrammatical sentence in insight.,Rewrite sentence,
low,16,16a,EXAM INSIGHT lo16-tip-step-two,G: Language,"Step 2 is the one that carries the marks. However, where a scenario",'However' contradicts nothing; illogical connector and unsupported marks claim.,Fix connector; drop marks claim,
low,16,16b,Verification audits: where they sit,G: Language,The timing of step 5 connects to three other LOs at once:,"Repeats the step 5 timings from the table, framed mainly as cross-references.",Condense and reduce cross-references,
low,17,17a,Exploring options: build in the time,A: Non-study content,APM is blunt about why: too often there is a rush to solutions.,Writer's aside about APM's tone rather than study content.,State the reason plainly,
low,17,17a,MVP and MMP: two different questions,B: Exam advice in study text,The syllabus names both. They answer different questions.,Syllabus commentary in study text.,Drop the syllabus reference,
low,17,17a,WHERE_THIS_FITS,B: Exam advice in study text,"One sub-outcome, but it sits inside the heaviest-weighted area of the exam",Exam-weighting commentary and LO-structure meta in the learner intro.,Remove the exam weighting remark,
low,17,17a,Option dimensions: what options should cover,F: Accuracy doubt,On the strategic dimension: starting a project cuts off other options,"A fifth 'strategic dimension' is discussed that is absent from the four-row table, while the insight refers to 'these four'.",Add it to the table or reword as a separate consideration,Check against APM BoK 8 before changing
low,17,17a,KEY_DEFINITIONS Minimum viable product / solution (MVP),F: Accuracy doubt,Minimum viable product / solution (MVP),Merges APM's minimum viable solution (option dimension) with the iterative MVP taught separately in the study text.,Separate the two terms or align with study text,Check against APM BoK 8 before changing
low,17,17a,Linear vs iterative: how scope is defined,G: Language,"Stop when the next increment costs more than it returns, an economic rule rather than a fixed list.",Orphan sentence repeating the table row verbatim.,Delete the repetition,
low,17,17a,Framing: it determines what options exist,G: Language,Frame it as the problem needing solved,Ungrammatical (dialect) construction.,Use 'needing to be solved',
low,18,18a,QA: preventing defects,A: Non-study content,What effective QA actually needs is worth stating plainly. APM is unusually direct:,Writer's aside about APM's tone.,State the point plainly,
low,18,18b,QC: what it is for,A: Non-study content,"The clean contrast with QA, worth stating exactly:",Writer's aside as lead-in.,Neutral lead-in,
low,18,18b,"QC: it applies everywhere, not just to technical products",A: Non-study content,A useful corrective.,Writer's aside fragment.,Delete,
low,18,18b,Continuous improvement: what makes it work,A: Non-study content,"That closes a circle running through LO11, LO12 and LO14",Needless cross-reference commentary.,Delete,
low,18,18b,ACTIVITIES groupup note,A: Non-study content,Get this and the most confused pair in the syllabus stops being confusing.,Motivational meta note in an activity.,Delete the note,
low,18,18a,insight lo18-tip-five-determinations,C: Insight problem,Give three of them and you have given half a plan.,Three of five is not half; loose claim.,Fix the comparison,
low,18,18b,insight lo18-tip-two-ends,C: Insight problem,"Two ends of the spectrum, and the exam will use one of them.",Restates the table and memory aid with little exam-specific value.,Sharpen or drop,
low,18,18b,Continuous improvement: a standing effort / the tools / what makes it work,E: Relevance / coverage gap,"Wider frameworks drawn from manufacturing: total quality management (TQM), Lean and Six Sigma.","Four sections on continuous improvement, kaizen, TQM, Lean and Six Sigma sit under 18b (QC techniques) and go beyond the outcome.",Trim to what supports 18b,
low,18,18a,WORKED EXAMPLES Who signs off,F: Accuracy doubt,"Because sign-off happens on behalf of the user, and in iterative work that is the product owner.","Table says iterative sign-off may be sponsor, client or product owner, so the answer overstates.",Say the product owner may sign off,Check against APM BoK 8 before changing
low,18,18a,Acceptance criteria: what they reference,G: Language,"The team also has to understand the external constraints: industry standards, regulatory or legal requirements, organisational policies.",Repeats rows of the table directly above.,Remove repetition,
low,18,18a,Quality: what it means here,G: Language,Different targets.,Orphan fragment; the QA/assurance boundary is also restated later in 'QA: preventing defects'.,Merge into sentence and remove duplication,
low,18,18b,Success criteria: how QC confirms they are met,G: Language,"QC executes those measurements and tests, inspection, measurement and testing, against the criteria.",Garbled repetition inside the step.,Simplify the sentence,
low,18,18b,QC: the sequence,G: Language,With continuous improvement running alongside throughout.,Orphan sentence fragment.,Make it a full sentence,
low,19,19a,Dependency management: how activities relate,A: Non-study content,And a genuinely useful risk point:,Writer's aside.,Delete the aside,
low,19,19a,Integrated planning: what it is,A: Non-study content,Note where that points: back to LO4.,Needless cross-reference commentary.,State the point directly,
low,19,19a,ACTIVITIES notes (pairup benefits),A: Non-study content,"Five of the eight. Enough to retrieve from, not so many you end up scanning.",Drafting note about activity design visible to learners.,Delete the note,
low,19,19b,Not integrating: the consequence,A: Non-study content,"APM gives one consequence directly, about dependencies, and it stands for the whole:",Provenance talk as lead-in.,Neutral lead-in,
low,19,19b,Integration: why it matters specifically,A: Non-study content,"APM makes the point through dependencies, and it generalises:","Blockquote formatted as a quotation is the writer's paraphrase, framed with provenance talk.",Remove quote styling and aside,
low,19,19a,insight lo19-tip-dependency,C: Insight problem,"Preferential and resource dependencies are the ones you challenge, and you weigh the effect on cost, benefit and quality",Duplicates the preceding study paragraph almost word for word.,Replace with a distinct tip,
low,19,19a,insight lo19-tip-contents,C: Insight problem,"If you have room, add procurement, quality, benefits realisation and information management",Repeats the study-text list directly above.,Keep only the exam angle,
low,19,19b,The honest framing: two things to hold together,D: Subheading,The honest framing: two things to hold together,Heading is vague and does not say what the section teaches.,Name the topic (planning despite change),
low,19,19a,The PMP: typical contents,G: Language,The PMP: typical contents,Abbreviation PMP is used in study text without ever being expanded.,Expand on first use,
low,19,19b,Plan assurance: the integrated baseline review,G: Language,Good practice is an integrated baseline review completed by an independent reviewer,Repeats the same point already made in 'The deployment baseline' section.,Keep it in one place,
low,20,20b,Schedule drivers: what else shapes it,A: Non-study content,Interfaces cut both ways. LO17 required understanding where the project touches other work,Unclear phrase plus needless cross-reference.,State the interface point directly,
low,20,20a,From breakdown to schedule: the steps,A: Non-study content,which is why LO19's estimating methods sit underneath this LO.,LO-structure meta commentary.,Delete the clause,
low,20,20a,Breakdown structures: turning scope into a schedule,B: Exam advice in study text,The syllabus names three for 20a; the fourth completes the set.,Syllabus commentary in study text.,Remove,
low,20,20b,insight lo20-tip-path-chain,C: Insight problem,"However, the word most people read past is resource",Illogical 'However' and unsupported claim about which rows are 'tested hardest'.,Tighten the tip,
low,20,20b,insight lo20-tip-links,C: Insight problem,Start-to-finish is the one to name as bad practice and finish-to-start is the one to name as normal.,Repeats the table and the sentence directly above; the preferential point repeats LO19.,Keep only a new exam angle,
low,20,20c,Progress monitoring: what tells you to re-estimate,D: Subheading,Progress monitoring: what tells you to re-estimate,"Section covers monitoring areas, frequency and reporting; it barely addresses re-estimating.",Rename to match content,
low,20,20a,Breakdown structures: turning scope into a schedule,F: Accuracy doubt,"who is on it, and what part each of them plays (LO2, LO21).",RAM belongs to LO21b; LO2 cross-reference is wrong.,Drop LO2,Check against APM BoK 8 before changing
low,20,20c,Progress monitoring: what tells you to re-estimate,G: Language,Progress monitoring. The three elements required for performance measurement:,Orphan fragment repeating the heading.,Delete the fragment,
low,20,20b,Dependency and link types: what the schedule is built on,G: Language,"| Start-to-finish | Generally bad practice, according to APM |",Constraint column gives a judgement instead of what the link means (successor finishes only when predecessor starts); also repeated in the next sentence.,"State the constraint, keep judgement once",
low,20,20a,"Scope: three things, not one",G: Language,| Outcome | What changes because the output is used | Arrives through adoption |,'Who it belongs to' column holds a non-person entry.,Rename column or give an owner,
low,20,20b,SYLLABUS,G: Language,business-as-usual activities — for example business-as-usual activities,Em dash inserted into the syllabus text (banned; not in the handbook wording).,Use a comma,
low,20,20b,Why critical chain exists / What critical chain requires,H: Structure,### Why critical chain exists,"Headings lack the SUBHEADING marker, so the section structure is inconsistent and the path-vs-chain insight lands under 'What critical chain requires'.",Make them proper subheadings or body text,
low,21,21a,Resource requirements: when identification starts,A: Non-study content,which is why LO17 comes first,Needless course-structure cross-reference inside study text.,Remove the LO pointer,
low,21,21a,Capacity: estimating what is required,A: Non-study content,Those are the LO19 methods applied to people rather than money.,Needless cross-reference that also implies estimating methods belong to money only.,Remove or state the methods plainly,
low,21,21a,Availability: the wider picture,A: Non-study content,"And the honest constraint: demand sometimes exceeds capacity, and something has to give.",Writer's aside tone ('the honest constraint').,State the point neutrally,
low,21,21b,The RAM: what it is actually for,A: Non-study content,"Three uses, all named by APM:",Provenance talk in study text.,Drop 'all named by APM',
low,21,21c,Linear schedules: allocating resources,A: Non-study content,Resource conflicts are resolved by levelling or smoothing (21d) before the deployment baseline is set.,Outcome code reference in learner study text.,Remove the outcome code,
low,21,21d,insight lo21-tip-which-technique,C: Insight problem,This is the distinction the LO gets examined on hardest.,Insight repeats the intro's claim and its 'APM's two questions' advice almost verbatim.,Keep only the reading-the-scenario tip,
low,21,21a,KEY_DEFINITIONS: Resource histogram,F: Accuracy doubt,"used to show performance, availability and utilisation against the project's expectations","This describes the resource management report, not the histogram, which only visualises demand or utilisation over time.",Limit the definition to what a histogram shows,Check against APM BoK 8 before changing
low,21,21a,Resource management: what it covers,G: Language,All four of the things the project is judged on.,Orphan sentence fragment.,Join it to the previous sentence,
low,21,21a,Constraints: what shapes the answer,G: Language,The factors named:,"List lead-in used as a sentence, with provenance wording ('named').",Make it a proper lead-in sentence,
low,21,21b,RACI coding: showing roles,G: Language,| I | Informed | About the work's progress |,Definition cell is a fragment; the activity correctly says 'Kept up to date about the work's progress'.,Use the full definition,
low,21,21c,Resource governance: set it up early,G: Language,"Establish it as early as possible, so there is a route to report progress",'It' has no antecedent in the text; it relies on the heading.,Name resource governance in the sentence,
low,21,21d,Levelling and smoothing: the two techniques,G: Language,levelling moves the level of the finish line; smoothing smooths the peaks and troughs and pays for it,Memory hook in study text is confusing ('level of the finish line') and duplicates the memory aids.,Cut or leave to memory aids,
low,21,21d,When neither works: the trade-off,G: Language,"setting out plainly what each initiative is worth, where it ranks and what it depends on",Repeats the 21a availability paragraph and the 21b change-request paragraph nearly word for word.,Cross-refer once or cut the repeat,
low,22,22a,Cost profiling: not only totalling,A: Non-study content,That curve becomes the baseline everything in 22b is measured against.,Outcome code reference in study text.,Remove the code,
low,22,22a,Whole-life costing: the full cost of ownership,A: Non-study content,This is the LO3 link made financial.,Needless cross-reference aside.,Remove,
low,22,22a,Contingency and management reserve: planning for the unknown,A: Non-study content,"There is no magic purse with unlimited funds, so experienced professionals ensure budgets include contingency",Filler tone in study text.,State the point plainly,
low,22,22b,Earned value analysis: what it gives you,A: Non-study content,which no other technique in the course does,Course meta-commentary.,Remove,
low,22,22d,Financial closedown: the forgotten element,A: Non-study content,That last row connects to LO6 and LO15,Needless cross-reference aside.,Remove,
low,22,22b,Iterative life cycles: easier to control,D: Subheading,Iterative life cycles: easier to control,"Heading gives only half of the section's point (easier to control, harder to forecast).",Reflect both halves,
low,22,22a,The cost breakdown structure: scope in budget terms,F: Accuracy doubt,it is the fourth of the breakdown structures you met in LO17 and LO20,"The OBS in the table was introduced in LO21, not LO17 or LO20; needless cross-reference.",Drop the LO references,Check against APM BoK 8 before changing
low,22,22a,Contingency and management reserve: planning for the unknown,G: Language,"| Planned contingency | Known risks and anticipated events | Authority to draw down, once the risk occurs |",'Released by' column names no releaser for planned contingency.,Name who authorises the drawdown,
low,22,22a,Governance: it sits over all of it,G: Language,"which puts cost planning right at the centre of governance, so how much detail and rigour is applied depends on the organisation",Non-sequitur: centrality to governance does not imply rigour depends on the organisation.,Split into two clear statements,
low,23,23b,Risk analysis: qualitative and quantitative,A: Non-study content,Monte Carlo simulation is the example given.,Provenance wording.,"Say 'for example, Monte Carlo simulation'",
low,23,23d,Tolerances: the mechanism,A: Non-study content,What escalation buys is stated directly.,Provenance wording.,Remove,
low,23,23a,insight lo23-tip-repeat-issues,C: Insight problem,That diagnosis is a useful scenario answer.,"Insight is shown separately but opens with 'That', and it restates the study text.",Make it self-contained,
low,23,23d,The governance triangle: the connection,D: Subheading,The governance triangle: the connection,'Governance triangle' is not an APM term and the heading does not say what is connected.,"Name governance, assurance and risk management",
low,23,23b,ACTIVITIES lineup,F: Accuracy doubt,Put the five sequential stages in order,"Drops escalation, a syllabus-listed stage, without the text explaining why it is not sequential.",Include escalation or explain its omission,Check against APM BoK 8 before changing
low,23,23c,Opportunity management: the forgotten half of risk,F: Accuracy doubt,The only thing that changes is the direction of the impact and which three responses apply.,"Opportunities have four responses in this LO (exploit, enhance, share, reject).","Say which responses apply, not three",Check against APM BoK 8 before changing
low,23,23a,A diagnostic: when issues keep arriving,G: Language,"Repeated issues are a symptom rather than a run of bad luck: the tolerances, the plan or the controls are probably wrong.",Repeats the preceding sentence.,Keep one,
low,23,23c,Opportunity management: the forgotten half of risk,G: Language,The half of risk that gets forgotten.,Orphan fragment repeating the heading.,Delete,
